,hour,min,seg,temp
0,9,40,47,70.3936
1,9,40,48,70.46759999999998
2,9,40,49,70.56559999999999
3,9,40,50,70.67
4,9,40,51,70.7757
5,9,40,52,70.8743
6,9,40,53,70.9731
7,9,40,54,71.0723
8,9,40,55,71.1651
9,9,40,56,71.2446
10,9,40,57,71.3196
11,9,40,58,71.422
12,9,40,59,71.5107
13,9,41,0,71.6028
14,9,41,1,71.6966
15,9,41,2,71.78529999999999
16,9,41,3,71.87500000000001
17,9,41,4,71.97099999999999
18,9,41,5,72.07310000000001
19,9,41,6,72.17510000000001
20,9,41,7,72.2715
21,9,41,8,72.3664
22,9,41,9,72.46529999999998
23,9,41,10,72.56250000000001
24,9,41,11,72.65679999999999
25,9,41,12,72.75300000000001
26,9,41,13,72.85010000000001
27,9,41,14,72.94610000000002
28,9,41,15,73.04310000000001
29,9,41,16,73.13739999999999
30,9,41,17,73.23149999999998
31,9,41,18,73.3244
32,9,41,19,73.4113
33,9,41,20,73.50529999999999
34,9,41,21,73.6031
35,9,41,22,73.69969999999998
36,9,41,23,73.7906
37,9,41,24,73.87870000000001
38,9,41,25,73.96619999999999
39,9,41,26,74.0539
40,9,41,27,74.1406
41,9,41,28,74.23030000000001
42,9,41,29,74.3251
43,9,41,30,74.41759999999998
44,9,41,31,74.50549999999998
45,9,41,32,74.59379999999999
46,9,41,33,74.68700000000001
47,9,41,34,74.77830000000002
48,9,41,35,74.8644
49,9,41,36,74.95209999999999
50,9,41,37,75.038
51,9,41,38,75.1237
52,9,41,39,75.2095
53,9,41,40,75.29190000000001
54,9,41,41,75.37650000000001
55,9,41,42,75.46020000000001
56,9,41,43,75.5471
57,9,41,44,75.6335
58,9,41,45,75.71969999999999
59,9,41,46,75.807
60,9,41,47,75.8877
61,9,41,48,75.9648
62,9,41,49,76.0459
63,9,41,50,76.1281
64,9,41,51,76.214
65,9,41,52,76.2966
66,9,41,53,76.37859999999999
67,9,41,54,76.45660000000001
68,9,41,55,76.53280000000001
69,9,41,56,76.6112
70,9,41,57,76.68809999999999
71,9,41,58,76.76239999999999
72,9,41,59,76.8376
73,9,42,0,76.91209999999998
74,9,42,1,76.9863
75,9,42,2,77.06049999999999
76,9,42,3,77.13170000000001
77,9,42,4,77.2043
78,9,42,5,77.2775
79,9,42,6,77.3515
80,9,42,7,77.42669999999998
81,9,42,8,77.4993
82,9,42,9,77.56779999999999
83,9,42,10,77.63799999999999
84,9,42,11,77.7101
85,9,42,12,77.77740000000001
86,9,42,13,77.8441
87,9,42,14,77.9093
88,9,42,15,77.97549999999998
89,9,42,16,78.04209999999999
90,9,42,17,78.11030000000002
91,9,42,18,78.1815
92,9,42,19,78.2519
93,9,42,20,78.3241
94,9,42,21,78.3927
95,9,42,22,78.4598
96,9,42,23,78.5239
97,9,42,24,78.5897
98,9,42,25,78.65830000000001
99,9,42,26,78.72579999999999
100,9,42,27,78.79749999999999
101,9,42,28,78.87070000000001
102,9,42,29,78.94000000000003
103,9,42,30,79.00900000000001
104,9,42,31,79.0828
105,9,42,32,79.1543
106,9,42,33,79.22240000000002
107,9,42,34,79.2931
108,9,42,35,79.36339999999998
109,9,42,36,79.4383
110,9,42,37,79.5113
111,9,42,38,79.58489999999999
112,9,42,39,79.6567
113,9,42,40,79.72649999999999
114,9,42,41,79.8004
115,9,42,42,79.876
116,9,42,43,79.9398
117,9,42,44,80.01239999999999
118,9,42,45,80.08070000000001
119,9,42,46,80.14690000000002
120,9,42,47,80.20779999999999
121,9,42,48,80.2716
122,9,42,49,80.3339
123,9,42,50,80.39850000000001
124,9,42,51,80.461
125,9,42,52,80.52469999999998
126,9,42,53,80.5934
127,9,42,54,80.66080000000001
128,9,42,55,80.7287
129,9,42,56,80.7939
130,9,42,57,80.8518
131,9,42,58,80.9135
132,9,42,59,80.9786
133,9,43,0,81.04299999999999
134,9,43,1,81.10910000000001
135,9,43,2,81.1712
136,9,43,3,81.228
137,9,43,4,81.2844
138,9,43,5,81.3484
139,9,43,6,81.4163
140,9,43,7,81.4851
141,9,43,8,81.55269999999999
142,9,43,9,81.614
143,9,43,10,81.6652
144,9,43,11,81.7212
145,9,43,12,81.78720000000001
146,9,43,13,81.85149999999999
147,9,43,14,81.91499999999999
148,9,43,15,81.9796
149,9,43,16,82.0439
150,9,43,17,82.1135
151,9,43,18,82.1823
152,9,43,19,82.23740000000001
153,9,43,20,82.3022
154,9,43,21,82.36120000000001
155,9,43,22,82.42389999999999
156,9,43,23,82.48679999999999
157,9,43,24,82.5454
158,9,43,25,82.60329999999999
159,9,43,26,82.6652
160,9,43,27,82.7274
161,9,43,28,82.78729999999999
162,9,43,29,82.84240000000001
163,9,43,30,82.8973
164,9,43,31,82.9579
165,9,43,32,83.0188
166,9,43,33,83.08189999999999
167,9,43,34,83.1479
168,9,43,35,83.21889999999999
169,9,43,36,83.2907
170,9,43,37,83.35069999999999
171,9,43,38,83.4044
172,9,43,39,83.4649
173,9,43,40,83.5206
174,9,43,41,83.57680000000002
175,9,43,42,83.62780000000001
176,9,43,43,83.6737
177,9,43,44,83.72080000000001
178,9,43,45,83.76759999999999
179,9,43,46,83.81049999999998
180,9,43,47,83.8593
181,9,43,48,83.90690000000002
182,9,43,49,83.9554
183,9,43,50,84.0088
184,9,43,51,84.06289999999998
185,9,43,52,84.1174
186,9,43,53,84.17770000000002
187,9,43,54,84.23960000000001
188,9,43,55,84.2963
189,9,43,56,84.35170000000001
190,9,43,57,84.40729999999999
191,9,43,58,84.4567
192,9,43,59,84.505
193,9,44,0,84.55550000000002
194,9,44,1,84.6085
195,9,44,2,84.66049999999998
196,9,44,3,84.71549999999999
197,9,44,4,84.76599999999999
198,9,44,5,84.81540000000003
199,9,44,6,84.86510000000001
200,9,44,7,84.90990000000001
201,9,44,8,84.95880000000001
202,9,44,9,85.0101
203,9,44,10,85.0651
204,9,44,11,85.1175
205,9,44,12,85.16869999999999
206,9,44,13,85.22009999999999
207,9,44,14,85.2731
208,9,44,15,85.3239
209,9,44,16,85.3735
210,9,44,17,85.42480000000003
